,formatted_address,name,place_id,rating,user_ratings_total,Types
195,"Jl. Dr. Rajiman No.251, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57152, Indonesia",Apollo Resto solo,ChIJz9FCB58Xei4RGZf9gwLyc-Q,4.5,203,restaurant
198,"Jl. Gajahmada No.48, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Mr Petruk Seafood Restaurant,ChIJGyzGSoYWei4RuzIFTeI1kNs,4.4,1619,restaurant
199,"Slamet Riyadi St No.464, Purwosari, Laweyan, Surakarta City, Central Java 57148, Indonesia",Java Terrace 1851,ChIJsQsJDL0Vei4RIqUv6iBx8II,4.4,832,restaurant
200,"Jl. Yos Sudarso No.172, Jayengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Dapur Asli Solo,ChIJCRWsCGUWei4R-ek_WkKtRrc,4.5,335,restaurant
201,"Jl. Utara Pasar Besar No.48, Kepatihan Wetan, Kec. Jebres, Kota Surakarta, Jawa Tengah 57129, Indonesia",Vipho9 Restaurant,ChIJnQ0yw2wXei4RFcAiw6-Vjyg,4.5,135,restaurant
202,"Jl. Ronggowarsito No.38, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57131, Indonesia",Saffron Resto & Meatshop,ChIJt7U8K4gWei4RymxgX-AtF7U,4.6,1548,restaurant
203,"Jl. Gajahmada No.42, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Alamama Resto,ChIJI2U9sBgXei4RBplRTLe7ikA,4.8,1650,restaurant
204,"Jl. Kebangkitan Nasional No.31, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",Par Four Cafe,ChIJDbY2230Wei4R9K4YAcfbd-0,4.7,457,restaurant
206,"Jl. MT Haryono No.11, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Che-eS Resto,ChIJO4M9pJ4Wei4ReKdX96a_gV8,4.3,1239,restaurant
207,"Jl. Menteri Supeno No.3, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Goela Klapa Authentic Indonesian Cuisine,ChIJ_aNnRiMUei4Rs1StgU0yZlY,4.3,1078,restaurant
208,"Jl. Diponegoro No.34-54, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Omah Sinten Heritage Hotel & Resto,ChIJn7_cf2IWei4RTgzkD_iBsqA,4.4,615,lodging
209,"Jl. Dr. Rajiman No.525, Laweyan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57148, Indonesia",Canting Londo Kitchen,ChIJ-1E5CtoVei4RrHHxDr3RmCE,4.5,725,restaurant
210,"Slamet Riyadi St No.261, Sriwedari, Laweyan, Surakarta City, Central Java 57141, Indonesia",The Soga Eatery,ChIJCcKeUPcUei4RhlVu4cddSH4,4.4,532,restaurant
213,"Jl. Prof. DR. Supomo No.55, Mangkubumen, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139, Indonesia",Pecel Solo,ChIJo5l9F4QWei4RXbHWfWvSLdM,4.3,1624,restaurant
214,"Jl. Ronggowarsito No.163, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131, Indonesia",Kadipolo Meatball,ChIJdfgeAIcWei4RMsO7mYQp5ro,4.4,2948,restaurant
215,"Slamet Riyadi St No.183, Kemlayan, Serengan, Surakarta City, Central Java 57151, Indonesia",Solo's Bistro,ChIJJahH0GIWei4R_0w7oi61zZg,4.5,4087,restaurant
217,"Jl. Gatot Subroto No.50, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Madam Xiang,ChIJDcnBFmMWei4R3H7Xx3jhjlY,4.4,433,restaurant
218,"Jl. Dr. Rajiman No.327, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149, Indonesia",Garden Resto,ChIJu1lZ-n4Wei4RBn0uZHGjCoU,4.4,674,restaurant
