,place_name,reviewer_name,reviewer_rating
406,Omah Sinten Heritage Hotel & Resto,John Abbott,3
407,Omah Sinten Heritage Hotel & Resto,Yesa Kristina,4
408,Omah Sinten Heritage Hotel & Resto,Toomas Vendelin,5
409,Omah Sinten Heritage Hotel & Resto,Abbott Hsu,5
410,Che-eS Resto,Bagus Widyanto,3
411,Che-eS Resto,Ari Eko Prasethio,4
412,Che-eS Resto,Desi Arinda,5
413,Che-eS Resto,Ellfa D Y,4
414,Che-eS Resto,Idris Panji,5
415,Goela Klapa Authentic Indonesian Cuisine,Inez Permata Hati,5
416,Goela Klapa Authentic Indonesian Cuisine,Antonio Bepe,4
417,Goela Klapa Authentic Indonesian Cuisine,Davin Thomas,5
418,Goela Klapa Authentic Indonesian Cuisine,Bunda FiFa Diary,5
419,Goela Klapa Authentic Indonesian Cuisine,Agil Saputro,5
420,The Soga Eatery,Inaa Dasele,5
421,The Soga Eatery,Suhaili Abdul Rahman,4
422,The Soga Eatery,fajar zona,5
423,The Soga Eatery,febrian ayu,3
424,The Soga Eatery,Ade Rosadin Noor,5
425,Fai Kie Chinese Restaurant,San Ristha,4
426,Fai Kie Chinese Restaurant,Lost Princess,5
427,Fai Kie Chinese Restaurant,Wimbo Satwiko,4
428,Fai Kie Chinese Restaurant,Andre,5
429,Fai Kie Chinese Restaurant,Indra Pratama,5
430,Timlo Solo Restaurant,Sofi Reksoyudo,4
431,Timlo Solo Restaurant,Diva Clara Azelia,5
432,Timlo Solo Restaurant,anita anggoro,3
433,Timlo Solo Restaurant,RMJ,4
434,Timlo Solo Restaurant,Toto Hermanto Setiawan,5
435,Nini Thowong Restaurant,Patrick Prabowo,4
436,Nini Thowong Restaurant,Missy n Ceria,4
437,Nini Thowong Restaurant,Andre Bastary,4
438,Nini Thowong Restaurant,Raden Oktova Gamma Star,4
439,Nini Thowong Restaurant,Johan (Hyushi),3
440,Madam Xiang,Mariana Wijayanti,5
441,Madam Xiang,Rex Sumner,5
442,Madam Xiang,Gerhard Aditama,4
443,Madam Xiang,Andri Rahardja,5
444,Madam Xiang,Stevan Ady Susanto,3
445,Kusuma Sari Restaurant & Ice Cream,Muchlas Abdi Pratama,3
446,Kusuma Sari Restaurant & Ice Cream,Agatha Andini,5
447,Kusuma Sari Restaurant & Ice Cream,Warsono Hadisubroto,4
448,Kusuma Sari Restaurant & Ice Cream,Nina,4
449,Kusuma Sari Restaurant & Ice Cream,h yusuf,5
450,Solo's Bistro,Dessy Puspitasari,5
451,Solo's Bistro,Imaduddin Faqih,5
452,Solo's Bistro,Joseph Ferdinand,5
453,Solo's Bistro,Hans Photography,5
454,Solo's Bistro,T R,3
455,Pecel Solo,Fino Indrasaputra,4
456,Pecel Solo,Just Berry,5
457,Pecel Solo,Jamal,5
458,Pecel Solo,Nava K,4
459,Pecel Solo,Setiawaty Lukman,5
460,Kadipolo Meatball,Ayi,4
461,Kadipolo Meatball,Hasimy Md,4
462,Kadipolo Meatball,Adi Setiya,4
463,Kadipolo Meatball,Alvin Lee,5
464,Kadipolo Meatball,Artha Dewi,4
465,Par Four Cafe,Josua Muliawan,5
466,Par Four Cafe,Anthony Zeng,5
467,Par Four Cafe,Budi Dharmawan,5
468,Par Four Cafe,Sylvi Prayogo,5
469,Par Four Cafe,Frederik Cavadino,5
470,Canting Londo Kitchen,Deby Firmansyah,4
471,Canting Londo Kitchen,Intan Harmae,5
472,Canting Londo Kitchen,Estu Dimas Danang,5
473,Canting Londo Kitchen,Hasandi Patriawan,3
474,Canting Londo Kitchen,Muhammad Afif Farhan,2
475,Garden Resto,Lee & Roy,4
476,Garden Resto,Eleora,5
477,Garden Resto,Febby Andrea,5
478,Garden Resto,Petr Vasicek,4
479,Garden Resto,Fajar Pamungkas,5
480,Cafe Tiga Ceret,Beteng S,5
481,Cafe Tiga Ceret,Rendra Bhatara,3
482,Cafe Tiga Ceret,Kiky Zein,5
483,Cafe Tiga Ceret,Ayunda Adinda,5
484,Cafe Tiga Ceret,SAZ07,5
485,D'Cost Restaurant,Joe Thamrin Londo Buchery,3
486,D'Cost Restaurant,Fajri,5
487,D'Cost Restaurant,Gideon Setyabudi Salim,4
488,D'Cost Restaurant,Nura Precious,5
489,D'Cost Restaurant,Reza,5
490,Rumah Makan Adem Ayem,Randy Chandra,5
491,Rumah Makan Adem Ayem,Andrew Tanardi,5
492,Rumah Makan Adem Ayem,Josephine Nur,5
493,Rumah Makan Adem Ayem,Ronald L. Poetranto,5
